822, HOLIDAY INN IPSWICH-ORWELL, IP39SJ, 52.0264569, 1.2138094, false
826, THEATRE ROYAL, BA11ET, 51.3821352, -2.3629585, false
829, HAM HOUSE, TW107RS, 51.44367949999999, -0.3164658, false
833, APOLLONIA RESTAURANT, HA74AR, 51.6175313, -0.3123516, false
836, THE ROYAL CRESCENT HOTEL, BA12LS, 51.3874423, -2.3680734, false
841, THREE COUNTIES HOTEL, HR27BP, 52.0433927, -2.7349614, false
849, LINTHWAITE HOUSE HOTEL, LA233JA, 54.3526773, -2.9126476, false
853, HIGHDOWN HOTEL, BN126PF, 50.8258971, -0.4426917, false
861, SCULTHORPE MILL, NR219QG, 52.8372639, 0.8084446, false
882, OAKLANDS HALL HOTEL, DN377LF, 53.5339536, -0.1787896, false
894, THE IVY HOTEL, SN49BY, 51.52642059999999, -1.7852764, false
898, MOXHULL HALL HOTEL, B769PE, 52.5591333, -1.7674726, false
904, SKIDDAW HOTEL, CA125BN, 54.6008404, -3.1379416, false
909, THE TOWER HOTEL, CO123PJ, 51.9363517, 1.2758242, false
916, WIMBORNE MINSTER TOWN COUNCIL, BH211LT, 50.8014576, -1.9889365, false
920, SPARSHOLT WEDDINGS, SO122NF, 0.0, 0.0, false
926, ROWTON CASTLE HOTEL, SY59EP, 52.7086911, -2.9194774, false
930, ADCOTE SCHOOL, SY42JY, 52.7689765, -2.8633571, false
935, THE PRINCE OF WALES HOTEL, PR81JS, 53.6454844, -3.008794, false
942, THE ROYAL GEOGRAPHICAL SOCIETY, SW72AR, 51.5015019, -0.1752685, false
948, YEW LODGE HOTEL, DE742DF, 52.836943, -1.2840462, false
955, BOLTON CASTLE, DL84ET, 54.3226322, -1.9476624, false
962, RIPON SPA HOTEL, HG42BU, 54.1357881, -1.5298231, false
967, MAESMAWR HALL HOTEL, SY175SF, 52.5156009, -3.40703, false
1055, HEATHERDEN HALL, SLO0NH, 51.54749229999999, -0.5346548999999999, false
1394, THE WILD PHEASANT HOTEL, LL208AD, 52.9727122, -3.1798103, false
4984, EMPIRE THEATRE, L11JE, 53.4089018, -2.9783192, false
8335, STEVENTON HOUSE HOTEL, OX136AB, 51.6147378, -1.3115056, false
8966, MALPAS COURT, NP206AD, 51.6162301, -3.0141171, false
9489, SHOREDITCH STUDIOS, EC2A3HH, 51.5255288, -0.0794512, false
9593, UNIVERSITY OF LIVERPOOL, L693BX, 53.4063986, -2.975554, false
9654, SHUSTOKE FARM BARNS, B462BL, 52.5143644, -1.6726786, false
9722, THE HILL END CENTRE, OX29NJ, 51.7558056, -1.3275452, false
9875, RICHMOND THEATRE, TW91QJ, 51.4621118, -0.3038393, false
9921, QUEENS PARK, CW27SE, 53.0985003, -2.4673476, false
10195, THE ANGEL, Y073RW, 0.0, 0.0, false
64, THE GRANGE HOTEL, YO306AA, 53.9658695, -1.0914252, false
277, DUNCOMBE PARK, YO625EB, 54.2392322, -1.0745221, false
851, NEWBURGH PRIORY, YO614AS, 54.1811383, -1.1724882, false
1043, CALDICOT CASTLE, NP264HU, 51.5975456, -2.7954108, true
1272, TODMORDEN TOWN HALL, OL145AQ, 53.714007, -2.0970838, false
1465, VILLAGE  HOTEL, CH624UE, 53.3493065, -2.985787, false
1562, THE ELCOT PARK HOTEL, RG208NJ, 51.422004, -1.4288404, false
1860, NESS BOTANIC GARDENS, CH644AY, 53.27335009999999, -3.0426872, false
2158, EASTBURY MANOR HOUSE, IG119SN, 51.5343434, 0.09939809999999999, false
2260, HEMPSTEAD HOUSE, ME99PP, 51.3331278, 0.7739421000000001, false
2470, ANGEL HOTEL, CF101SZ, 51.4808624, -3.1827675, false
3103, ONE ALDWYCH HOTEL, WC2B4BZ, 51.5119231, -0.1194107, false
4364, NOVOTEL SOUTHAMPTON, SO151RA, 50.9057609, -1.4145415, false
5664, KNOWLES LODGE, BD236DQ, 54.0309325, -1.9088537, false
6481, COLCHESTER ARTS CENTRE, CO11NF, 51.8888627, 0.8953542, false
6591, WESTCLIFF HOTEL, EX108RU, 50.6766488, -3.2452848, false
8487, THE BODLEIAN LIBRARY, OX13BG, 51.75396509999999, -1.2549054, false
9128, THE MACCLESFIELD ROOM, SK101EA, 53.2606674, -2.1251336, false
9134, THE BOAT, LL130DL, 52.9669203, -2.9604758, false
9922, THE BELLS OF PEOVER, WA169PZ, 53.2639602, -2.3871289, false
10036, THE CASTLE HOTEL, SA200AP, 51.9933445, -3.7973459, false
636, CITY HALL, CF103ND, 51.4851481, -3.1786442, false
711, NATIONAL RAILWAY MUSEUM, YO264XJ, 53.960767, -1.0965506, false
1026, SITWELL ARMS HOTEL, S213WF, 53.2999703, -1.3369035, false
