325, WORTLEY HOUSE HOTEL, DN161SU, 53.5847754, -0.6481395999999999
332, THE ROYAL OAK, SN84NQ, 51.3694475, -1.7180345
335, CLANDON PARK, GU47RQ, 51.2510242, -0.5152242
340, THE JUMEIRAH CARLTON TOWER, SW1X9PY, 51.4985693, -0.1590909
347, HOTEL HATFIELD, NR330DG, 52.461152, 1.7414356
353, HMS WARRIOR 1860, PO13QX, 50.7989732, -1.1076032
358, NAWORTH CASTLE, CA82HF, 54.956033, -2.6886813
367, LLANGOED HALL, LD30YP, 52.05207069999999, -3.2869176
372, WOOD HALL HOTEL, LS224JA, 53.91605029999999, -1.4402753
375, GEORGE HOTEL, DL23SW, 54.53431430000001, -1.6732741
378, THE GOLF HOTEL, LN106SG, 53.1536414, -0.2101059
381, BLUNSDON HOUSE HOTEL, SN267AS, 51.61358920000001, -1.7887219
385, COOMBE ABBEY HOTEL, CV32AB, 52.4120779, -1.4091011
390, RIVERSIDE HOTEL, DE143EP, 52.7866671, -1.6643092
397, DILLINGTON HOUSE, TA199DT, 50.9359311, -2.9012881
401, HOLIDAY INN AYLESBURY, HP225AA, 51.8089939, -0.765776
404, COURT COLMAN MANOR, CF314NU, 51.5305614, -3.5923668
410, THE LANDMARK LONDON HOTEL, NW16JQ, 51.5213677, -0.1638366
413, PACKFORD'S HOTEL, IG80BS, 51.6088299, 0.0262433
416, TOWN HALL, CO11FR, 51.8895194, 0.9160940000000001
420, LAMPORT HALL, NN69HD, 52.3633466, -0.8870426000000001
423, BRANDSHATCH PLACE HOTEL, DA38QN, 51.3606032, 0.3085946
427, MERCURE, HU106EA, 53.7663338, -0.4513011999999999
431, MISSENDEN ABBEY CONFERENCE CENTRE, HP160BD, 51.70049640000001, -0.7026718
435, HORSTED PLACE, TN225TS, 50.9454907, 0.0927866
440, THE LEGACY THATCHER'S HOTEL, KT246TB, 51.2617966, -0.4303861
447, ORSETT HALL HOTEL, RM163HS, 51.5153593, 0.3738366
453, OCKENDEN MANOR, RH175LD, 51.006365, -0.1438215
458, THE MOUNT PLEASANT HOTEL, DN110HW, 53.4712836, -1.036515
461, THE LYGON ARMS, WR127DU, 52.0361827, -1.8612019
465, BERTIE'S BANQUETING ROOMS, HX59AW, 53.6851785, -1.833682
469, TYGLYN AERON HOTEL, SA487JT, 52.1037909, -4.1420989
476, DORCHESTER MUNICIPAL BUILDINGS, DT11HF, 50.7157517, -2.4359855
479, RHINEFIELD HOUSE HOTEL, SO427QB, 50.8345886, -1.6253997
483, HOLIDAY INN LONDON- ELSTREE-M25 JUNCTION 23, WD65PU, 51.6569078, -0.2502841
487, CLARIDGES, W1A2JQ, 51.5171329, -0.1342436
491, HOLIDAY INN LEEDS-GARFORTH, LS251LH, 53.7852471, -1.4046349
497, AUBREY PARK HOTEL, AL37AF, 51.787468, -0.4141062
501, JARROW TOWN HALL, NE323LE, 54.9816288, -1.4900427
507, BROOME PARK, CT46QX, 51.1903313, 1.1737622
510, MARGAM ORANGERY, SA132TJ, 51.56273119999999, -3.7255584
515, TICKTON GRANGE HOTEL, HU179SH, 53.8642799, -0.3740357
520, MARRIOTT BREADSALL PRIORY HOTEL  AND COUNTRY CLUB, DE76DL, 52.9680379, -1.4268782
526, MERCURE BURTON ON TRENT, NEWTON PARK, DE150SS, 52.8239721, -1.5868531
529, THE HALLMARK HOTEL, DE12SQ, 52.9155698, -1.4641103
534, THE MORRITT ARMS, DL129SE, 54.5144636, -1.8688745
541, SUTTON HOUSE, E96JQ, 51.5484847, -0.0504313
546, CWRT BLEDDYN HOTEL, NP151PG, 51.6541327, -2.9152639
549, THE NATIONAL BREWERY CENTRE, DE141NG, 52.8071516, -1.627288
552, KEELE HALL, ST55BG, 53.0039516, -2.274598300000001
557, THE MANOR HOUSE HOTEL, GL560LJ, 51.9884289, -1.7031292
561, VILLIERS HOTEL, MK181BS, 51.9992283, -0.9889403000000001
565, THE GREAT HALL AT MAINS, FY67LE, 53.8566819, -2.9588613
568, PINES HOTEL, PR67ED, 53.6531635, -2.6251554
572, BARTLE HALL HOTEL, PR40HA, 53.79148929999999, -2.7818931
575, NORTHCOTE, BB68BE, 53.8114034, -2.4502934
579, MICKLEOVER COURT HOTEL, DE35XX, 0.0, 0.0
582, NEW PLACE, SO322JH, 50.9206072, -1.191451
585, RAMADA  BIRMINGHAM SOLIHULL, B913RF, 52.4118302, -1.7755537
590, DELBURY HALL, SY79DH, 52.463749, -2.725268
